2026-07-12 19:17:39 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 19:17:48 | INFO     | gesture_draw | Camera 0 opened on attempt 1.
2026-07-12 19:17:57 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:17:58 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 19:18:01 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:18:04 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:18:27 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 19:18:30 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:18:31 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:18:32 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:18:33 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:18:34 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 19:18:35 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:18:39 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 19:18:40 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:18:41 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 19:18:45 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:18:47 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:19:03 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:19:04 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 19:19:05 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:19:09 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:19:15 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:19:26 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:19:33 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 19:19:34 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:19:35 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:19:42 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:19:43 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:19:48 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
